Week of Date,Weekday of Date,Day of Date,Yr Built,Sqft Living,Sqft Lot,Price
Week 53,Monday,29,1905,2840,6240,1425000
Week 51,Saturday,20,1908,2120,3600,1320000
Week 49,Monday,1,1909,3270,6000,1210000
Week 52,Sunday,21,1905,2790,3600,1045000
Week 50,Thursday,11,1910,2680,3011,1028950
Week 49,Tuesday,2,1907,2550,5000,1020000
Week 49,Monday,1,1922,1960,4500,660000
Week 49,Wednesday,3,1907,990,3120,437500
Week 50,Tuesday,9,1908,2670,6780,675000
Week 49,Thursday,4,1911,790,4590,350000
Week 49,Friday,5,1913,1000,16524,115000
Week 52,Tuesday,23,1913,1310,4000,510000
Week 53,Monday,29,1920,720,5913,230000
Week 52,Wednesday,24,1922,1400,4500,310000
Week 51,Monday,15,1920,1860,3400,730000
Week 51,Thursday,18,1906,1100,4000,570000
Week 51,Tuesday,16,1922,960,9748,265000
Week 53,Tuesday,30,1906,760,40039,190000
Week 51,Wednesday,17,1913,1870,3378,340000
Week 51,Friday,19,1900,1400,3600,485000
Week 51,Thursday,18,1918,1550,3350,623500
Week 49,Saturday,6,1911,1140,3834,320000
Week 49,Monday,1,1900,1090,4013,430000
Week 49,Wednesday,3,1912,1320,3954,209000
Week 51,Monday,15,1900,2330,4950,325000
Week 51,Wednesday,17,1916,1490,5700,578500
Week 50,Monday,8,1922,1850,5000,611000
Week 51,Tuesday,16,1910,1660,7650,250000
Week 49,Tuesday,2,1917,1150,4500,450000
Week 51,Tuesday,16,1910,2260,5500,405000
Week 49,Tuesday,2,1911,1660,4400,780000
Week 50,Wednesday,10,1904,2120,4370,733500
Week 53,Wednesday,31,1915,1630,1724,509000
Week 50,Thursday,11,1912,1350,3333,429000
Week 50,Thursday,11,1903,1650,2970,752000
Week 51,Saturday,20,1920,1820,22814,229000
Week 52,Friday,26,1910,1430,4163,575000
Week 52,Monday,22,1911,2400,3500,650000
Week 50,Tuesday,9,1921,2770,5854,685000
Week 51,Monday,15,1919,1450,3090,499000
Week 49,Tuesday,2,1911,1960,2400,792500
Week 49,Wednesday,3,1907,2320,5000,900000
Week 49,Monday,1,1911,2900,6400,450000
Week 51,Tuesday,16,1901,2210,4366,589000
Week 51,Thursday,18,1920,2180,4000,825000
Week 52,Tuesday,23,1922,1880,48787,515000
Week 51,Thursday,18,1901,3020,4800,630000
Week 50,Monday,8,1920,780,3540,180000
Week 50,Thursday,11,1922,1150,9048,305000
Week 52,Wednesday,24,1912,960,4800,325000
Week 49,Monday,1,1908,1960,9583,180000
Week 52,Tuesday,23,1922,2010,3800,575000
Week 53,Monday,29,1907,840,7200,202000
Week 49,Tuesday,2,1905,720,3255,403000
Week 52,Monday,22,1906,920,5250,200000
Week 49,Monday,1,1909,950,3090,330000
Week 49,Wednesday,3,1909,1140,15624,365500
Week 49,Friday,5,1922,680,5250,500000
Week 49,Friday,5,1921,1200,9850,189000
Week 52,Friday,26,1908,1320,3090,381156
Week 51,Friday,19,1919,980,3915,375000
Week 49,Thursday,4,1900,1510,4000,595000
Week 50,Friday,12,1918,940,3864,543000
Week 50,Monday,8,1912,2210,6500,500000
Week 50,Tuesday,9,1919,1400,6000,337000
Week 52,Tuesday,23,1921,1370,6250,565000
Week 50,Tuesday,9,1908,1220,4000,470000
Week 52,Tuesday,23,1916,1160,7500,312000
Week 51,Friday,19,1918,1190,7840,311000
Week 50,Tuesday,9,1920,1340,6120,255000
Week 52,Tuesday,23,1910,1400,14850,383000
Week 52,Monday,22,1912,1460,6250,705000
Week 50,Thursday,11,1921,2010,7561,245000
Week 52,Monday,22,1913,1540,5000,550000
Week 50,Thursday,11,1921,2030,4080,730000
Week 51,Monday,15,1921,3020,4950,975000
Week 53,Tuesday,30,1905,1810,4838,230000
Week 49,Tuesday,2,1903,2140,36509,230000
Week 49,Wednesday,3,1906,2150,2527,762000
Week 52,Monday,22,1900,1680,3813,500000
Week 53,Tuesday,30,1904,2360,6000,640000
Week 53,Wednesday,31,1919,1100,3300,441000
Week 51,Tuesday,16,1918,1310,8667,575000
Week 50,Wednesday,10,1916,1230,4800,125000
Week 49,Tuesday,2,1900,3080,5500,432500
Week 50,Thursday,11,1916,1390,4160,460000
Week 49,Tuesday,2,1908,2100,4480,420000
Week 49,Wednesday,3,1906,1660,5200,601150
Week 50,Tuesday,9,1919,1480,6075,276000
Week 52,Tuesday,23,1900,960,10815,199999
Week 51,Thursday,18,1911,1570,6717,229950
Week 49,Thursday,4,1906,1615,4590,665000
Week 49,Friday,5,1918,1860,5750,400000
Week 52,Friday,26,1918,1620,10000,399000
Week 51,Friday,19,1919,1890,4400,651000
Week 53,Monday,29,1907,1690,5100,515000
Week 52,Wednesday,24,1922,2090,7440,700000
Week 49,Monday,1,1909,1400,1581,667000
Week 49,Tuesday,2,1920,1520,6174,210000
Week 49,Friday,5,1908,1390,4500,425000
Week 52,Tuesday,23,1914,3210,8400,756450
Week 50,Monday,8,1910,3920,5250,760000
Week 50,Tuesday,9,1909,2610,4080,678940
Week 53,Monday,29,1907,3150,5150,614000
Week 49,Wednesday,3,1909,3500,5150,865000
